PLAYER_ID,PLAYER_NAME,league,season,role,POSITION,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FGA,FTA,FG3A
1642773,Kariata Diaby,WNBA,2025,,,13,8.0,1.9,0.4,1.0,0.5,0.1,0.9,1.1,1.1,0.0
1628317,Karlie Samuelson,WNBA,2025,,,16,14.2,3.3,1.1,1.3,0.4,0.1,0.7,2.6,0.9,2.1
1642768,Kyara Linskens,WNBA,2025,,,4,6.7,1.0,0.3,1.5,0.3,0.8,0.5,1.3,0.0,0.3
1643154,Kyra Lambert,WNBA,2025,,,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642820,Liatu King,WNBA,2025,,,14,9.7,2.7,0.3,2.1,0.1,0.0,0.8,1.9,1.1,0.4
1642763,Marième Badiane,WNBA,2025,,,3,3.6,0.0,0.0,0.3,0.7,0.0,0.7,1.0,0.0,0.3
1642301,Marquesha Davis,WNBA,2025,,,11,4.7,0.9,0.1,0.6,0.0,0.2,0.5,0.9,0.6,0.4
1642799,Megan McConnell,WNBA,2025,,,1,12.6,3.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0
1628920,Mercedes Russell,WNBA,2025,,,20,8.2,1.7,0.6,1.2,0.3,0.2,0.4,1.4,0.7,0.0
1627669,Moriah Jefferson,WNBA,2025,,,5,7.1,1.4,1.8,1.0,0.0,0.0,0.4,1.6,0.0,0.6
1642774,Murjanatu Musa,WNBA,2025,,,12,10.1,3.3,0.6,2.6,0.3,0.2,0.6,2.9,0.9,0.2
1641641,Robyn Parks,WNBA,2025,,,6,10.5,0.3,0.3,1.5,0.3,0.0,0.2,0.8,0.0,0.7
1642813,Serena Sundell,WNBA,2025,,,3,7.2,0.0,0.0,0.3,0.0,0.0,0.7,0.3,0.0,0.3
1629479,Teaira McCowan,WNBA,2025,,,17,12.9,5.6,0.6,4.6,0.3,0.7,0.9,3.9,1.7,0.1
1628304,Yvonne Anderson,WNBA,2025,,,1,12.4,0.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0
