PLAYER_ID,PLAYER_NAME,league,season,role,POSITION,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FGA,FTA,FG3A,USG_PCT,RIM_RATE,PAINT_NON_RA_RATE,MIDRANGE_RATE,THREE_ZONE_RATE,THREE_RATE,FT_RATE,OREB_PCT,DREB_PCT
1641708,Amen Thompson,NBA,2024-25,Wing,G-F,69,32.3,14.1,3.8,8.2,1.4,1.3,2.0,10.1,3.6,1.3,0.172,0.5121951219512195,0.2596843615494978,0.0975609756097561,0.1305595408895265,0.1305595408895265,0.3543758967001434,0.078,0.159
1629599,Amir Coffey,NBA,2024-25,Wing,G-F,72,24.3,9.7,1.1,2.2,0.6,0.1,0.6,7.1,1.8,3.4,0.15,0.2078431372549019,0.1862745098039215,0.1215686274509803,0.4843137254901961,0.4843137254901961,0.2529411764705882,0.019,0.072
203083,Andre Drummond,NBA,2024-25,Big,C,40,18.8,7.3,0.9,7.8,1.0,0.5,1.4,5.9,2.3,0.5,0.183,0.6495726495726496,0.2264957264957265,0.0384615384615384,0.0854700854700854,0.0854700854700854,0.3846153846153846,0.134,0.288
1641748,Andre Jackson Jr.,NBA,2024-25,Guard,G,67,14.6,3.4,1.2,2.7,0.5,0.2,0.9,2.9,0.4,1.1,0.115,0.3959390862944162,0.1675126903553299,0.0507614213197969,0.3857868020304568,0.3857868020304568,0.1218274111675127,0.066,0.114
1629614,Andrew Nembhard,NBA,2024-25,Wing,G-F,65,28.9,10.0,5.0,3.3,1.2,0.2,1.7,8.3,2.1,2.7,0.163,0.2207792207792207,0.2282003710575139,0.2263450834879406,0.3246753246753247,0.3246753246753247,0.2523191094619666,0.018,0.093
203952,Andrew Wiggins,NBA,2024-25,Wing,F,60,30.7,18.0,2.6,4.5,1.0,0.8,1.7,14.0,4.3,5.8,0.238,0.2312276519666269,0.2419547079856972,0.1120381406436233,0.4147794994040524,0.4147794994040524,0.3063170441001192,0.045,0.095
1629014,Anfernee Simons,NBA,2024-25,Guard,G,70,32.7,19.3,4.8,2.7,0.9,0.1,2.0,16.1,2.8,8.5,0.241,0.1662222222222222,0.1822222222222222,0.1244444444444444,0.5271111111111111,0.5271111111111111,0.1724444444444444,0.01,0.069
1641710,Anthony Black,NBA,2024-25,Guard,G,78,24.2,9.4,3.1,2.9,1.1,0.6,1.8,7.9,2.5,2.5,0.19,0.3467741935483871,0.2483870967741935,0.0903225806451612,0.314516129032258,0.314516129032258,0.317741935483871,0.026,0.1
203076,Anthony Davis,NBA,2024-25,Big,F-C,51,33.4,24.7,3.5,11.6,1.2,2.2,2.2,17.8,7.2,2.4,0.301,0.3604395604395604,0.2989010989010989,0.2043956043956044,0.1362637362637362,0.1362637362637362,0.4054945054945055,0.083,0.254
1630162,Anthony Edwards,NBA,2024-25,Guard,G,79,36.3,27.6,4.5,5.7,1.2,0.6,3.2,20.4,6.3,10.3,0.307,0.2251861042183622,0.141439205955335,0.130272952853598,0.5031017369727047,0.5031017369727047,0.3076923076923077,0.021,0.131
1630264,Anthony Gill,NBA,2024-25,Wing,F,51,7.8,2.5,0.3,1.3,0.2,0.0,0.2,1.7,1.0,0.6,0.124,0.3636363636363636,0.2613636363636363,0.0227272727272727,0.3522727272727273,0.3522727272727273,0.5681818181818182,0.042,0.111
1641817,Anton Watson,NBA,2024-25,Wing,F,9,2.5,0.9,0.2,0.3,0.1,0.0,0.2,1.0,0.0,0.1,0.193,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.05,0.118
1641810,Antonio Reeves,NBA,2024-25,Guard,G,44,15.0,6.9,0.9,1.4,0.5,0.1,0.7,5.6,0.8,2.9,0.183,0.2217741935483871,0.1733870967741935,0.0846774193548387,0.5201612903225806,0.5201612903225806,0.1411290322580645,0.026,0.07
1630574,Ariel Hukporti,NBA,2024-25,Big,C,25,8.7,1.9,0.4,2.0,0.0,0.6,0.8,1.2,0.5,0.0,0.113,0.7419354838709677,0.2580645161290322,0.0,0.0,0.0,0.4193548387096774,0.066,0.151
1642422,Armel Traore,NBA,2024-25,,,9,7.4,1.6,0.1,1.7,0.4,0.2,0.3,2.1,0.8,0.8,0.153,0.5263157894736842,0.1052631578947368,0.0,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.026,0.228
1641709,Ausar Thompson,NBA,2024-25,Wing,G-F,59,22.5,10.1,2.3,5.1,1.7,0.7,1.4,7.8,2.4,0.8,0.185,0.6130434782608696,0.2543478260869565,0.0260869565217391,0.1065217391304347,0.1065217391304347,0.308695652173913,0.081,0.139
1630559,Austin Reaves,NBA,2024-25,Guard,G,73,34.9,20.2,5.8,4.5,1.1,0.3,2.4,14.2,5.0,7.3,0.23,0.1938283510125361,0.2324011571841851,0.0617164898746383,0.5120540019286403,0.5120540019286403,0.3529411764705882,0.025,0.101
1630245,Ayo Dosunmu,NBA,2024-25,Guard,G,46,30.3,12.3,4.5,3.5,0.9,0.4,1.5,9.8,1.7,4.1,0.163,0.4231625835189309,0.1380846325167037,0.0178173719376391,0.4209354120267261,0.4209354120267261,0.1759465478841871,0.018,0.09
1628389,Bam Adebayo,NBA,2024-25,Big,C-F,78,34.3,18.1,4.3,9.6,1.3,0.7,2.1,14.3,4.2,2.8,0.232,0.2398921832884097,0.398921832884097,0.1626235399820305,0.1985624438454627,0.1985624438454627,0.2946990116801437,0.069,0.214
1631248,Baylor Scheierman,NBA,2024-25,Guard,G,31,12.4,3.6,1.1,2.1,0.5,0.1,0.4,3.5,0.4,2.6,0.143,0.109090909090909,0.0909090909090909,0.0545454545454545,0.7454545454545455,0.7454545454545455,0.109090909090909,0.048,0.117
1641767,Ben Sheppard,NBA,2024-25,Guard,G,63,19.5,5.3,1.3,2.8,0.6,0.2,0.3,4.6,0.4,3.2,0.108,0.2090592334494773,0.0627177700348432,0.0348432055749128,0.6933797909407665,0.6933797909407665,0.0940766550522648,0.035,0.106
1627732,Ben Simmons,NBA,2024-25,Wing,G-F,51,22.0,5.0,5.6,4.7,0.7,0.5,2.0,4.4,0.6,0.0,0.133,0.4887892376681614,0.4663677130044843,0.0448430493273542,0.0,0.0,0.147982062780269,0.043,0.184
1631097,Bennedict Mathurin,NBA,2024-25,Wing,G-F,72,29.9,16.1,1.9,5.3,0.7,0.3,1.9,11.8,4.6,4.0,0.222,0.3446658851113716,0.1899179366940211,0.1277842907385697,0.3376318874560375,0.3376318874560375,0.3892145369284877,0.041,0.133
1641731,Bilal Coulibaly,NBA,2024-25,Guard,G,59,33.0,12.3,3.4,5.0,1.3,0.7,2.1,10.6,3.1,3.8,0.175,0.3173076923076923,0.2243589743589743,0.0993589743589743,0.358974358974359,0.358974358974359,0.296474358974359,0.043,0.098
202687,Bismack Biyombo,NBA,2024-25,Big,C,28,18.8,5.1,1.1,5.6,0.6,0.8,1.0,4.1,0.9,0.0,0.124,0.5175438596491229,0.4473684210526316,0.0350877192982456,0.0,0.0,0.219298245614035,0.08,0.207
1631104,Blake Wesley,NBA,2024-25,Guard,G,58,11.8,3.7,2.0,1.1,0.6,0.1,0.9,3.2,1.1,1.0,0.165,0.489247311827957,0.1236559139784946,0.075268817204301,0.3118279569892473,0.3118279569892473,0.3279569892473118,0.025,0.062
1626171,Bobby Portis Jr.,NBA,2024-25,Wing,F,49,25.4,13.9,2.1,8.4,0.7,0.5,1.2,12.1,1.5,3.6,0.234,0.215126050420168,0.2,0.2857142857142857,0.2991596638655462,0.2991596638655462,0.1226890756302521,0.071,0.235
1641752,Bobi Klintman,NBA,2024-25,Wing,F,8,5.3,1.9,0.9,0.9,0.3,0.1,0.1,1.3,0.3,0.6,0.121,0.2,0.2,0.1,0.5,0.5,0.2,0.024,0.182
203992,Bogdan Bogdanović,NBA,2024-25,Guard,G,54,25.0,10.8,2.7,2.9,0.8,0.2,1.4,9.1,1.2,5.4,0.183,0.1382113821138211,0.1666666666666666,0.1077235772357723,0.5873983739837398,0.5873983739837398,0.1341463414634146,0.017,0.098
1629626,Bol Bol,NBA,2024-25,Big,C-F,36,12.5,6.8,0.6,2.9,0.3,0.7,0.6,5.1,0.7,2.6,0.204,0.1147540983606557,0.1693989071038251,0.2076502732240437,0.5081967213114754,0.5081967213114754,0.1420765027322404,0.047,0.168
1630538,Bones Hyland,NBA,2024-25,Guard,G,24,9.9,6.2,1.3,1.0,0.8,0.2,1.0,4.9,1.1,3.4,0.274,0.1271186440677966,0.0677966101694915,0.1101694915254237,0.6949152542372882,0.6949152542372882,0.2203389830508474,0.02,0.083
203078,Bradley Beal,NBA,2024-25,Guard,G,53,32.1,17.0,3.7,3.3,1.1,0.5,1.9,13.1,2.6,5.0,0.219,0.1916426512968299,0.2363112391930835,0.1916426512968299,0.3804034582132565,0.3804034582132565,0.1974063400576368,0.021,0.083
1642382,Branden Carlson,NBA,2024-25,Big,C,32,7.7,3.8,0.4,1.7,0.2,0.7,0.2,3.0,0.6,2.1,0.185,0.1855670103092783,0.1030927835051546,0.0309278350515463,0.6804123711340206,0.6804123711340206,0.1855670103092783,0.064,0.131
1641764,Brandin Podziemski,NBA,2024-25,Guard,G,64,26.8,11.7,3.4,5.1,1.1,0.2,1.2,9.8,1.5,4.8,0.177,0.1605723370429252,0.2209856915739268,0.1271860095389507,0.4912559618441971,0.4912559618441971,0.151033386327504,0.034,0.151
1630527,Brandon Boston Jr.,NBA,2024-25,Guard,G,42,23.6,10.7,2.2,3.2,1.3,0.2,1.2,9.1,2.0,3.3,0.199,0.2703412073490813,0.1574803149606299,0.2047244094488189,0.3674540682414698,0.3674540682414698,0.2230971128608924,0.026,0.107
1629634,Brandon Clarke,NBA,2024-25,Wing,F,64,18.9,8.3,1.0,5.1,0.8,0.6,0.6,5.9,1.4,0.3,0.15,0.4921052631578947,0.4210526315789473,0.0421052631578947,0.0447368421052631,0.0447368421052631,0.2289473684210526,0.102,0.148
1627742,Brandon Ingram,NBA,2024-25,Wing,F,18,33.1,22.2,5.2,5.6,0.9,0.6,3.8,18.5,3.1,6.4,0.305,0.1591591591591591,0.1921921921921922,0.3033033033033033,0.3453453453453453,0.3453453453453453,0.1651651651651651,0.027,0.14
1641706,Brandon Miller,NBA,2024-25,Wing,F,27,34.2,21.0,3.6,4.9,1.1,0.7,2.8,18.2,2.9,10.9,0.27,0.1323828920570264,0.1832993890020366,0.0875763747454175,0.5967413441955194,0.5967413441955194,0.1608961303462321,0.024,0.117
1630314,Brandon Williams,NBA,2024-25,Guard,G,33,14.8,8.3,2.3,1.8,0.7,0.2,1.2,5.7,2.0,1.8,0.218,0.425531914893617,0.175531914893617,0.0797872340425532,0.3191489361702128,0.3191489361702128,0.351063829787234,0.025,0.091
1630296,Braxton Key,NBA,2024-25,Wing,F,3,3.6,1.0,0.0,0.7,0.7,0.0,0.3,1.3,2.0,0.3,0.222,,,,,,,0.077,0.167
1641729,Brice Sensabaugh,NBA,2024-25,Wing,F,71,20.2,10.9,1.5,3.0,0.6,0.1,1.5,8.4,1.0,5.2,0.208,0.1035058430717863,0.1886477462437395,0.0868113522537562,0.6210350584307178,0.6210350584307178,0.1218697829716193,0.028,0.11
1642355,Bronny James,NBA,2024-25,Guard,G,27,6.7,2.3,0.8,0.7,0.3,0.1,0.5,2.5,0.5,1.2,0.199,0.1044776119402985,0.3134328358208955,0.1044776119402985,0.4776119402985074,0.4776119402985074,0.208955223880597,0.021,0.076
201572,Brook Lopez,NBA,2024-25,Big,C,80,31.8,13.0,1.8,5.0,0.6,1.9,1.1,9.7,1.7,4.7,0.157,0.2571059431524548,0.1808785529715762,0.0801033591731266,0.4819121447028424,0.4819121447028424,0.1782945736434108,0.046,0.107
1628971,Bruce Brown,NBA,2024-25,Wing,G-F,41,22.5,8.3,2.0,4.0,0.8,0.2,1.0,7.5,1.6,2.0,0.169,0.3203883495145631,0.3333333333333333,0.0841423948220064,0.2621359223300971,0.2621359223300971,0.2103559870550161,0.04,0.134
1628981,Bruno Fernando,NBA,2024-25,,,17,8.6,3.4,1.1,3.0,0.2,0.5,0.8,2.9,0.5,0.0,0.182,0.6938775510204082,0.2244897959183673,0.0816326530612244,0.0,0.0,0.1632653061224489,0.127,0.21
1631121,Bryce McGowens,NBA,2024-25,Guard,G,13,2.5,1.0,0.2,0.2,0.1,0.0,0.3,1.1,0.5,0.3,0.244,0.1428571428571428,0.5,0.0714285714285714,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.056,0.034
1642267,Bub Carrington,NBA,2024-25,Guard,G,82,30.0,9.8,4.4,4.2,0.7,0.3,1.7,9.1,1.0,5.0,0.154,0.1229946524064171,0.141711229946524,0.1911764705882352,0.5441176470588235,0.5441176470588235,0.1136363636363636,0.012,0.117
1627741,Buddy Hield,NBA,2024-25,Guard,G,82,22.7,11.1,1.6,3.2,0.8,0.3,1.1,9.6,0.8,6.7,0.196,0.1424936386768447,0.0916030534351145,0.0674300254452926,0.6984732824427481,0.6984732824427481,0.0814249363867684,0.025,0.111
203468,CJ McCollum,NBA,2024-25,Guard,G,56,32.7,21.1,4.1,3.8,0.8,0.4,1.9,17.9,3.1,8.2,0.266,0.187,0.219,0.135,0.459,0.459,0.173,0.022,0.091
1630595,Cade Cunningham,NBA,2024-25,Guard,G,70,35.0,26.1,9.1,6.1,1.0,0.8,4.4,20.8,5.3,6.0,0.323,0.2498284145504461,0.3315030885380919,0.1310912834591626,0.2875772134522992,0.2868908716540837,0.2539464653397392,0.023,0.147
1631216,Caleb Houstan,NBA,2024-25,Guard,G,58,13.6,4.1,0.6,1.3,0.4,0.1,0.2,3.3,0.3,2.8,0.115,0.0578947368421052,0.0421052631578947,0.0578947368421052,0.8421052631578947,0.8421052631578947,0.0894736842105263,0.023,0.073
1628997,Caleb Martin,NBA,2024-25,Wing,F,45,27.1,7.9,2.1,3.9,1.0,0.5,1.2,6.8,2.2,2.3,0.143,0.2828947368421052,0.1776315789473684,0.2006578947368421,0.3388157894736842,0.3388157894736842,0.3223684210526316,0.042,0.105
1642353,Cam Christie,NBA,2024-25,Guard,G,13,4.5,1.4,0.5,0.9,0.4,0.1,0.2,1.8,0.3,1.0,0.192,0.3333333333333333,0.0833333333333333,0.0416666666666666,0.5416666666666666,0.5416666666666666,0.1666666666666666,0.051,0.141
1629629,Cam Reddish,NBA,2024-25,Wing,,33,17.9,3.2,0.7,2.0,1.0,0.3,0.4,2.8,0.8,1.4,0.084,0.3191489361702128,0.1489361702127659,0.0319148936170212,0.5,0.5,0.2765957446808511,0.029,0.081
1642285,Cam Spencer,NBA,2024-25,Guard,G,25,10.1,4.2,1.4,1.2,0.4,0.0,0.2,3.3,0.8,2.1,0.148,0.1097560975609756,0.1463414634146341,0.1097560975609756,0.6341463414634146,0.6341463414634146,0.2317073170731707,0.043,0.07
1630560,Cam Thomas,NBA,2024-25,Guard,G,25,31.2,24.0,3.8,3.3,0.6,0.1,2.5,18.2,6.0,7.8,0.328,0.1762114537444934,0.2048458149779735,0.1894273127753304,0.4295154185022026,0.4295154185022026,0.3325991189427312,0.02,0.089
1641715,Cam Whitmore,NBA,2024-25,Wing,F,51,16.2,9.4,1.0,3.0,0.6,0.3,0.9,7.9,1.4,3.6,0.231,0.3027295285359802,0.1637717121588089,0.0794044665012407,0.4540942928039702,0.4540942928039702,0.1786600496277915,0.039,0.139
1629661,Cameron Johnson,NBA,2024-25,Wing,F,57,31.6,18.8,3.4,4.3,0.9,0.4,1.7,13.1,3.9,7.2,0.224,0.2248995983935743,0.1231593038821954,0.1057563587684069,0.5461847389558233,0.5461847389558233,0.3012048192771084,0.03,0.113
1626166,Cameron Payne,NBA,2024-25,Guard,G,72,15.1,6.9,2.8,1.4,0.5,0.2,0.7,6.2,0.8,3.6,0.2,0.1704035874439461,0.1928251121076233,0.0627802690582959,0.5739910313901345,0.5739910313901345,0.1210762331838565,0.013,0.081
1627747,Caris LeVert,NBA,2024-25,Guard,G,64,24.9,12.1,3.4,3.2,0.9,0.5,1.2,9.4,2.4,4.4,0.191,0.3255425709515859,0.1502504173622704,0.0500834724540901,0.4741235392320534,0.4741235392320534,0.2587646076794658,0.026,0.096
1641717,Cason Wallace,NBA,2024-25,Guard,G,68,27.6,8.4,2.5,3.4,1.8,0.5,0.9,7.2,0.5,3.1,0.124,0.3292433537832311,0.1983640081799591,0.0470347648261758,0.4253578732106339,0.4253578732106339,0.0756646216768916,0.036,0.079
1629646,Charles Bassey,NBA,2024-25,Big,C-F,36,10.4,4.4,0.5,4.2,0.4,0.8,0.6,3.3,0.9,0.0,0.164,0.6923076923076923,0.2735042735042735,0.0341880341880341,0.0,0.0,0.282051282051282,0.133,0.24
1631096,Chet Holmgren,NBA,2024-25,Big,C-F,32,27.4,15.0,2.0,8.0,0.7,2.2,1.8,10.7,4.2,3.6,0.214,0.3577712609970674,0.2228739002932551,0.0791788856304985,0.3401759530791788,0.3401759530791788,0.3929618768328445,0.054,0.208
1628449,Chris Boucher,NBA,2024-25,Wing,F,50,17.2,10.0,0.7,4.5,0.5,0.5,0.6,7.4,1.7,3.9,0.208,0.3216216216216216,0.1081081081081081,0.0486486486486486,0.5216216216216216,0.5216216216216216,0.2351351351351351,0.077,0.175
1630537,Chris Duarte,NBA,2024-25,,,17,4.4,2.1,0.5,1.2,0.0,0.0,0.1,1.5,0.5,0.9,0.151,0.3076923076923077,0.1153846153846153,0.0384615384615384,0.5384615384615384,0.5769230769230769,0.3076923076923077,0.06,0.165
1641753,Chris Livingston,NBA,2024-25,Wing,F,21,5.0,1.4,0.2,1.7,0.2,0.0,0.3,1.3,0.8,0.4,0.15,0.5185185185185185,0.1851851851851851,0.0,0.2962962962962963,0.2962962962962963,0.5925925925925926,0.091,0.198
101108,Chris Paul,NBA,2024-25,Guard,G,82,28.0,8.8,7.4,3.6,1.3,0.3,1.6,7.1,1.1,4.5,0.137,0.0291595197255574,0.111492281303602,0.2229845626072041,0.6363636363636364,0.6363636363636364,0.1578044596912521,0.014,0.11
1631128,Christian Braun,NBA,2024-25,Guard,G,79,33.9,15.4,2.6,5.2,1.1,0.5,1.0,10.4,2.7,2.8,0.155,0.5213154689403167,0.1583434835566382,0.0475030450669914,0.2728380024360536,0.2728380024360536,0.2606577344701583,0.039,0.109
1631132,Christian Koloko,NBA,2024-25,Big,C,37,9.2,2.4,0.4,2.5,0.2,0.4,0.3,1.8,0.4,0.1,0.104,0.7424242424242424,0.1515151515151515,0.0454545454545454,0.0606060606060606,0.0606060606060606,0.2121212121212121,0.095,0.165
1629643,Chuma Okeke,NBA,2024-25,Wing,F,9,21.9,5.9,1.7,5.2,0.6,0.4,0.3,4.4,0.3,3.1,0.093,0.3,0.0,0.0,0.7,0.7,0.075,0.099,0.141
203991,Clint Capela,NBA,2024-25,Big,C,55,21.4,8.9,1.1,8.5,0.6,1.0,0.9,7.1,1.8,0.0,0.16,0.7076923076923077,0.2794871794871795,0.0102564102564102,0.0025641025641025,0.0025641025641025,0.2487179487179487,0.132,0.238
1629632,Coby White,NBA,2024-25,Guard,G,74,33.1,20.4,4.5,3.7,0.9,0.2,2.4,15.1,4.1,7.9,0.237,0.2578055307760927,0.1400535236396075,0.0811775200713648,0.5209634255129348,0.5209634255129348,0.2738626226583407,0.01,0.095
1628998,Cody Martin,NBA,2024-25,Wing,F,53,22.1,6.8,2.0,4.2,1.1,0.6,1.0,6.1,1.2,2.8,0.142,0.2861538461538461,0.1107692307692307,0.1384615384615384,0.4646153846153846,0.4646153846153846,0.1876923076923076,0.041,0.136
1642262,Cody Williams,NBA,2024-25,Wing,F,50,21.2,4.6,1.2,2.3,0.5,0.3,0.9,5.1,0.8,2.7,0.122,0.1400778210116731,0.2490272373540856,0.0856031128404669,0.5252918287937743,0.5252918287937743,0.1556420233463035,0.024,0.075
1641732,Colby Jones,NBA,2024-25,Guard,G,39,13.2,4.0,1.1,2.2,0.7,0.3,0.6,3.3,0.9,1.3,0.138,0.2403100775193798,0.2558139534883721,0.1240310077519379,0.3798449612403101,0.3798449612403101,0.2713178294573643,0.038,0.123
