PLAYER_ID,PLAYER_NAME,league,season,role,POSITION,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FGA,FTA,FG3A,USG_PCT,RIM_RATE,PAINT_NON_RA_RATE,MIDRANGE_RATE,THREE_ZONE_RATE,THREE_RATE,FT_RATE
1629599,Amir Coffey,NBA,2024-25,Wing,G-F,72,24.3,9.7,1.1,2.2,0.6,0.1,0.6,7.1,1.8,3.4,0.15,0.20784313725490197,0.18627450980392157,0.12156862745098039,0.4843137254901961,0.4843137254901961,0.2529411764705882
203083,Andre Drummond,NBA,2024-25,Big,C,40,18.8,7.3,0.9,7.8,1.0,0.5,1.4,5.9,2.3,0.5,0.183,0.6495726495726496,0.2264957264957265,0.038461538461538464,0.08547008547008547,0.08547008547008547,0.38461538461538464
1641748,Andre Jackson Jr.,NBA,2024-25,Guard,G,67,14.6,3.4,1.2,2.7,0.5,0.2,0.9,2.9,0.4,1.1,0.115,0.39593908629441626,0.16751269035532995,0.050761421319796954,0.38578680203045684,0.38578680203045684,0.1218274111675127
1629614,Andrew Nembhard,NBA,2024-25,Wing,G-F,65,28.9,10.0,5.0,3.3,1.2,0.2,1.7,8.3,2.1,2.7,0.163,0.22077922077922077,0.22820037105751392,0.22634508348794063,0.3246753246753247,0.3246753246753247,0.2523191094619666
203952,Andrew Wiggins,NBA,2024-25,Wing,F,60,30.7,18.0,2.6,4.5,1.0,0.8,1.7,14.0,4.3,5.8,0.238,0.23122765196662692,0.24195470798569726,0.11203814064362336,0.41477949940405245,0.41477949940405245,0.3063170441001192
1629014,Anfernee Simons,NBA,2024-25,Guard,G,70,32.7,19.3,4.8,2.7,0.9,0.1,2.0,16.1,2.8,8.5,0.241,0.16622222222222222,0.18222222222222223,0.12444444444444444,0.5271111111111111,0.5271111111111111,0.17244444444444446
1641710,Anthony Black,NBA,2024-25,Guard,G,78,24.2,9.4,3.1,2.9,1.1,0.6,1.8,7.9,2.5,2.5,0.19,0.3467741935483871,0.24838709677419354,0.09032258064516129,0.31451612903225806,0.31451612903225806,0.317741935483871
203076,Anthony Davis,NBA,2024-25,Big,F-C,51,33.4,24.7,3.5,11.6,1.2,2.2,2.2,17.8,7.2,2.4,0.301,0.36043956043956044,0.2989010989010989,0.2043956043956044,0.13626373626373625,0.13626373626373625,0.4054945054945055
1630162,Anthony Edwards,NBA,2024-25,Guard,G,79,36.3,27.6,4.5,5.7,1.2,0.6,3.2,20.4,6.3,10.3,0.307,0.22518610421836227,0.141439205955335,0.13027295285359802,0.5031017369727047,0.5031017369727047,0.3076923076923077
1630264,Anthony Gill,NBA,2024-25,Wing,F,51,7.8,2.5,0.3,1.3,0.2,0.0,0.2,1.7,1.0,0.6,0.124,0.36363636363636365,0.26136363636363635,0.022727272727272728,0.3522727272727273,0.3522727272727273,0.5681818181818182
1641817,Anton Watson,NBA,2024-25,Wing,F,9,2.5,0.9,0.2,0.3,0.1,0.0,0.2,1.0,0.0,0.1,0.193,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0
1641810,Antonio Reeves,NBA,2024-25,Guard,G,44,15.0,6.9,0.9,1.4,0.5,0.1,0.7,5.6,0.8,2.9,0.183,0.2217741935483871,0.17338709677419356,0.0846774193548387,0.5201612903225806,0.5201612903225806,0.14112903225806453
1630574,Ariel Hukporti,NBA,2024-25,Big,C,25,8.7,1.9,0.4,2.0,0.0,0.6,0.8,1.2,0.5,0.0,0.113,0.7419354838709677,0.25806451612903225,0.0,0.0,0.0,0.41935483870967744
1642422,Armel Traore,NBA,2024-25,,,9,7.4,1.6,0.1,1.7,0.4,0.2,0.3,2.1,0.8,0.8,0.153,0.5263157894736842,0.10526315789473684,0.0,0.3684210526315789,0.3684210526315789,0.3684210526315789
1641709,Ausar Thompson,NBA,2024-25,Wing,G-F,59,22.5,10.1,2.3,5.1,1.7,0.7,1.4,7.8,2.4,0.8,0.185,0.6130434782608696,0.2543478260869565,0.02608695652173913,0.10652173913043478,0.10652173913043478,0.30869565217391304
1630559,Austin Reaves,NBA,2024-25,Guard,G,73,34.9,20.2,5.8,4.5,1.1,0.3,2.4,14.2,5.0,7.3,0.23,0.19382835101253615,0.23240115718418514,0.06171648987463838,0.5120540019286403,0.5120540019286403,0.35294117647058826
1630245,Ayo Dosunmu,NBA,2024-25,Guard,G,46,30.3,12.3,4.5,3.5,0.9,0.4,1.5,9.8,1.7,4.1,0.163,0.42316258351893093,0.13808463251670378,0.017817371937639197,0.4209354120267261,0.4209354120267261,0.1759465478841871
1628389,Bam Adebayo,NBA,2024-25,Big,C-F,78,34.3,18.1,4.3,9.6,1.3,0.7,2.1,14.3,4.2,2.8,0.232,0.2398921832884097,0.39892183288409705,0.16262353998203055,0.1985624438454627,0.1985624438454627,0.29469901168014373
1631248,Baylor Scheierman,NBA,2024-25,Guard,G,31,12.4,3.6,1.1,2.1,0.5,0.1,0.4,3.5,0.4,2.6,0.143,0.10909090909090909,0.09090909090909091,0.05454545454545454,0.7454545454545455,0.7454545454545455,0.10909090909090909
1641767,Ben Sheppard,NBA,2024-25,Guard,G,63,19.5,5.3,1.3,2.8,0.6,0.2,0.3,4.6,0.4,3.2,0.108,0.20905923344947736,0.0627177700348432,0.03484320557491289,0.6933797909407665,0.6933797909407665,0.09407665505226481
1627732,Ben Simmons,NBA,2024-25,Wing,G-F,51,22.0,5.0,5.6,4.7,0.7,0.5,2.0,4.4,0.6,0.0,0.133,0.48878923766816146,0.4663677130044843,0.04484304932735426,0.0,0.0,0.14798206278026907
1631097,Bennedict Mathurin,NBA,2024-25,Wing,G-F,72,29.9,16.1,1.9,5.3,0.7,0.3,1.9,11.8,4.6,4.0,0.222,0.34466588511137164,0.1899179366940211,0.12778429073856976,0.3376318874560375,0.3376318874560375,0.3892145369284877
1641731,Bilal Coulibaly,NBA,2024-25,Guard,G,59,33.0,12.3,3.4,5.0,1.3,0.7,2.1,10.6,3.1,3.8,0.175,0.3173076923076923,0.22435897435897437,0.09935897435897435,0.358974358974359,0.358974358974359,0.296474358974359
202687,Bismack Biyombo,NBA,2024-25,Big,C,28,18.8,5.1,1.1,5.6,0.6,0.8,1.0,4.1,0.9,0.0,0.124,0.5175438596491229,0.4473684210526316,0.03508771929824561,0.0,0.0,0.21929824561403508
1631104,Blake Wesley,NBA,2024-25,Guard,G,58,11.8,3.7,2.0,1.1,0.6,0.1,0.9,3.2,1.1,1.0,0.165,0.489247311827957,0.12365591397849462,0.07526881720430108,0.3118279569892473,0.3118279569892473,0.3279569892473118
1626171,Bobby Portis Jr.,NBA,2024-25,Wing,F,49,25.4,13.9,2.1,8.4,0.7,0.5,1.2,12.1,1.5,3.6,0.234,0.21512605042016808,0.2,0.2857142857142857,0.2991596638655462,0.2991596638655462,0.1226890756302521
1641752,Bobi Klintman,NBA,2024-25,Wing,F,8,5.3,1.9,0.9,0.9,0.3,0.1,0.1,1.3,0.3,0.6,0.121,0.2,0.2,0.1,0.5,0.5,0.2
203992,Bogdan Bogdanović,NBA,2024-25,Guard,G,54,25.0,10.8,2.7,2.9,0.8,0.2,1.4,9.1,1.2,5.4,0.183,0.13821138211382114,0.16666666666666666,0.10772357723577236,0.5873983739837398,0.5873983739837398,0.13414634146341464
1629626,Bol Bol,NBA,2024-25,Big,C-F,36,12.5,6.8,0.6,2.9,0.3,0.7,0.6,5.1,0.7,2.6,0.204,0.11475409836065574,0.16939890710382513,0.20765027322404372,0.5081967213114754,0.5081967213114754,0.14207650273224043
1630538,Bones Hyland,NBA,2024-25,Guard,G,24,9.9,6.2,1.3,1.0,0.8,0.2,1.0,4.9,1.1,3.4,0.274,0.1271186440677966,0.06779661016949153,0.11016949152542373,0.6949152542372882,0.6949152542372882,0.22033898305084745
203078,Bradley Beal,NBA,2024-25,Guard,G,53,32.1,17.0,3.7,3.3,1.1,0.5,1.9,13.1,2.6,5.0,0.219,0.19164265129682997,0.23631123919308358,0.19164265129682997,0.3804034582132565,0.3804034582132565,0.19740634005763688
1642382,Branden Carlson,NBA,2024-25,Big,C,32,7.7,3.8,0.4,1.7,0.2,0.7,0.2,3.0,0.6,2.1,0.185,0.18556701030927836,0.10309278350515463,0.030927835051546393,0.6804123711340206,0.6804123711340206,0.18556701030927836
1641764,Brandin Podziemski,NBA,2024-25,Guard,G,64,26.8,11.7,3.4,5.1,1.1,0.2,1.2,9.8,1.5,4.8,0.177,0.16057233704292528,0.22098569157392686,0.1271860095389507,0.4912559618441971,0.4912559618441971,0.151033386327504
1630527,Brandon Boston Jr.,NBA,2024-25,Guard,G,42,23.6,10.7,2.2,3.2,1.3,0.2,1.2,9.1,2.0,3.3,0.199,0.27034120734908135,0.15748031496062992,0.2047244094488189,0.3674540682414698,0.3674540682414698,0.2230971128608924
1629634,Brandon Clarke,NBA,2024-25,Wing,F,64,18.9,8.3,1.0,5.1,0.8,0.6,0.6,5.9,1.4,0.3,0.15,0.4921052631578947,0.42105263157894735,0.042105263157894736,0.04473684210526316,0.04473684210526316,0.22894736842105262
1627742,Brandon Ingram,NBA,2024-25,Wing,F,18,33.1,22.2,5.2,5.6,0.9,0.6,3.8,18.5,3.1,6.4,0.305,0.15915915915915915,0.1921921921921922,0.3033033033033033,0.34534534534534533,0.34534534534534533,0.16516516516516516
1641706,Brandon Miller,NBA,2024-25,Wing,F,27,34.2,21.0,3.6,4.9,1.1,0.7,2.8,18.2,2.9,10.9,0.27,0.13238289205702647,0.18329938900203666,0.08757637474541752,0.5967413441955194,0.5967413441955194,0.16089613034623218
1630314,Brandon Williams,NBA,2024-25,Guard,G,33,14.8,8.3,2.3,1.8,0.7,0.2,1.2,5.7,2.0,1.8,0.218,0.425531914893617,0.17553191489361702,0.0797872340425532,0.3191489361702128,0.3191489361702128,0.35106382978723405
1630296,Braxton Key,NBA,2024-25,Wing,F,3,3.6,1.0,0.0,0.7,0.7,0.0,0.3,1.3,2.0,0.3,0.222,,,,,,
1641729,Brice Sensabaugh,NBA,2024-25,Wing,F,71,20.2,10.9,1.5,3.0,0.6,0.1,1.5,8.4,1.0,5.2,0.208,0.10350584307178631,0.18864774624373956,0.08681135225375626,0.6210350584307178,0.6210350584307178,0.12186978297161936
1642355,Bronny James,NBA,2024-25,Guard,G,27,6.7,2.3,0.8,0.7,0.3,0.1,0.5,2.5,0.5,1.2,0.199,0.1044776119402985,0.31343283582089554,0.1044776119402985,0.47761194029850745,0.47761194029850745,0.208955223880597
201572,Brook Lopez,NBA,2024-25,Big,C,80,31.8,13.0,1.8,5.0,0.6,1.9,1.1,9.7,1.7,4.7,0.157,0.2571059431524548,0.18087855297157623,0.08010335917312661,0.4819121447028424,0.4819121447028424,0.17829457364341086
1628971,Bruce Brown,NBA,2024-25,Wing,G-F,41,22.5,8.3,2.0,4.0,0.8,0.2,1.0,7.5,1.6,2.0,0.169,0.32038834951456313,0.3333333333333333,0.08414239482200647,0.2621359223300971,0.2621359223300971,0.21035598705501618
1628981,Bruno Fernando,NBA,2024-25,,,17,8.6,3.4,1.1,3.0,0.2,0.5,0.8,2.9,0.5,0.0,0.182,0.6938775510204082,0.22448979591836735,0.08163265306122448,0.0,0.0,0.16326530612244897
1631121,Bryce McGowens,NBA,2024-25,Guard,G,13,2.5,1.0,0.2,0.2,0.1,0.0,0.3,1.1,0.5,0.3,0.244,0.14285714285714285,0.5,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.42857142857142855
1642267,Bub Carrington,NBA,2024-25,Guard,G,82,30.0,9.8,4.4,4.2,0.7,0.3,1.7,9.1,1.0,5.0,0.154,0.12299465240641712,0.14171122994652408,0.19117647058823528,0.5441176470588235,0.5441176470588235,0.11363636363636363
1627741,Buddy Hield,NBA,2024-25,Guard,G,82,22.7,11.1,1.6,3.2,0.8,0.3,1.1,9.6,0.8,6.7,0.196,0.14249363867684478,0.0916030534351145,0.06743002544529263,0.6984732824427481,0.6984732824427481,0.08142493638676845
203468,CJ McCollum,NBA,2024-25,Guard,G,56,32.7,21.1,4.1,3.8,0.8,0.4,1.9,17.9,3.1,8.2,0.266,0.187,0.219,0.135,0.459,0.459,0.173
1630595,Cade Cunningham,NBA,2024-25,Guard,G,70,35.0,26.1,9.1,6.1,1.0,0.8,4.4,20.8,5.3,6.0,0.323,0.24982841455044613,0.33150308853809196,0.13109128345916266,0.28757721345229925,0.2868908716540837,0.2539464653397392
1631216,Caleb Houstan,NBA,2024-25,Guard,G,58,13.6,4.1,0.6,1.3,0.4,0.1,0.2,3.3,0.3,2.8,0.115,0.05789473684210526,0.042105263157894736,0.05789473684210526,0.8421052631578947,0.8421052631578947,0.08947368421052632
1628997,Caleb Martin,NBA,2024-25,Wing,F,45,27.1,7.9,2.1,3.9,1.0,0.5,1.2,6.8,2.2,2.3,0.143,0.28289473684210525,0.17763157894736842,0.20065789473684212,0.33881578947368424,0.33881578947368424,0.3223684210526316
1642353,Cam Christie,NBA,2024-25,Guard,G,13,4.5,1.4,0.5,0.9,0.4,0.1,0.2,1.8,0.3,1.0,0.192,0.3333333333333333,0.08333333333333333,0.041666666666666664,0.5416666666666666,0.5416666666666666,0.16666666666666666
1629629,Cam Reddish,NBA,2024-25,,,33,17.9,3.2,0.7,2.0,1.0,0.3,0.4,2.8,0.8,1.4,0.084,0.3191489361702128,0.14893617021276595,0.031914893617021274,0.5,0.5,0.2765957446808511
1642285,Cam Spencer,NBA,2024-25,Guard,G,25,10.1,4.2,1.4,1.2,0.4,0.0,0.2,3.3,0.8,2.1,0.148,0.10975609756097561,0.14634146341463414,0.10975609756097561,0.6341463414634146,0.6341463414634146,0.23170731707317074
1630560,Cam Thomas,NBA,2024-25,Guard,G,25,31.2,24.0,3.8,3.3,0.6,0.1,2.5,18.2,6.0,7.8,0.328,0.1762114537444934,0.20484581497797358,0.1894273127753304,0.42951541850220265,0.42951541850220265,0.33259911894273125
1641715,Cam Whitmore,NBA,2024-25,Wing,F,51,16.2,9.4,1.0,3.0,0.6,0.3,0.9,7.9,1.4,3.6,0.231,0.3027295285359802,0.16377171215880892,0.0794044665012407,0.45409429280397023,0.45409429280397023,0.17866004962779156
1629661,Cameron Johnson,NBA,2024-25,Wing,F,57,31.6,18.8,3.4,4.3,0.9,0.4,1.7,13.1,3.9,7.2,0.224,0.2248995983935743,0.12315930388219545,0.10575635876840696,0.5461847389558233,0.5461847389558233,0.30120481927710846
1626166,Cameron Payne,NBA,2024-25,Guard,G,72,15.1,6.9,2.8,1.4,0.5,0.2,0.7,6.2,0.8,3.6,0.2,0.17040358744394618,0.19282511210762332,0.06278026905829596,0.5739910313901345,0.5739910313901345,0.1210762331838565
1627747,Caris LeVert,NBA,2024-25,Guard,G,64,24.9,12.1,3.4,3.2,0.9,0.5,1.2,9.4,2.4,4.4,0.191,0.32554257095158595,0.15025041736227046,0.05008347245409015,0.4741235392320534,0.4741235392320534,0.2587646076794658
1641717,Cason Wallace,NBA,2024-25,Guard,G,68,27.6,8.4,2.5,3.4,1.8,0.5,0.9,7.2,0.5,3.1,0.124,0.3292433537832311,0.1983640081799591,0.04703476482617587,0.42535787321063395,0.42535787321063395,0.07566462167689161
1629646,Charles Bassey,NBA,2024-25,Big,C-F,36,10.4,4.4,0.5,4.2,0.4,0.8,0.6,3.3,0.9,0.0,0.164,0.6923076923076923,0.27350427350427353,0.03418803418803419,0.0,0.0,0.28205128205128205
1631096,Chet Holmgren,NBA,2024-25,Big,C-F,32,27.4,15.0,2.0,8.0,0.7,2.2,1.8,10.7,4.2,3.6,0.214,0.35777126099706746,0.22287390029325513,0.07917888563049853,0.34017595307917886,0.34017595307917886,0.39296187683284456
1628449,Chris Boucher,NBA,2024-25,Wing,F,50,17.2,10.0,0.7,4.5,0.5,0.5,0.6,7.4,1.7,3.9,0.208,0.3216216216216216,0.10810810810810811,0.04864864864864865,0.5216216216216216,0.5216216216216216,0.23513513513513515
1630537,Chris Duarte,NBA,2024-25,,,17,4.4,2.1,0.5,1.2,0.0,0.0,0.1,1.5,0.5,0.9,0.151,0.3076923076923077,0.11538461538461539,0.038461538461538464,0.5384615384615384,0.5769230769230769,0.3076923076923077
1641753,Chris Livingston,NBA,2024-25,Wing,F,21,5.0,1.4,0.2,1.7,0.2,0.0,0.3,1.3,0.8,0.4,0.15,0.5185185185185185,0.18518518518518517,0.0,0.2962962962962963,0.2962962962962963,0.5925925925925926
101108,Chris Paul,NBA,2024-25,Guard,G,82,28.0,8.8,7.4,3.6,1.3,0.3,1.6,7.1,1.1,4.5,0.137,0.029159519725557463,0.11149228130360206,0.22298456260720412,0.6363636363636364,0.6363636363636364,0.15780445969125215
1631128,Christian Braun,NBA,2024-25,Guard,G,79,33.9,15.4,2.6,5.2,1.1,0.5,1.0,10.4,2.7,2.8,0.155,0.5213154689403167,0.15834348355663824,0.047503045066991476,0.2728380024360536,0.2728380024360536,0.26065773447015833
1631132,Christian Koloko,NBA,2024-25,Big,C,37,9.2,2.4,0.4,2.5,0.2,0.4,0.3,1.8,0.4,0.1,0.104,0.7424242424242424,0.15151515151515152,0.045454545454545456,0.06060606060606061,0.06060606060606061,0.21212121212121213
1629643,Chuma Okeke,NBA,2024-25,Wing,F,9,21.9,5.9,1.7,5.2,0.6,0.4,0.3,4.4,0.3,3.1,0.093,0.3,0.0,0.0,0.7,0.7,0.075
203991,Clint Capela,NBA,2024-25,Big,C,55,21.4,8.9,1.1,8.5,0.6,1.0,0.9,7.1,1.8,0.0,0.16,0.7076923076923077,0.2794871794871795,0.010256410256410256,0.002564102564102564,0.002564102564102564,0.24871794871794872
1629632,Coby White,NBA,2024-25,Guard,G,74,33.1,20.4,4.5,3.7,0.9,0.2,2.4,15.1,4.1,7.9,0.237,0.25780553077609275,0.1400535236396075,0.08117752007136485,0.5209634255129348,0.5209634255129348,0.27386262265834077
1628998,Cody Martin,NBA,2024-25,Wing,F,53,22.1,6.8,2.0,4.2,1.1,0.6,1.0,6.1,1.2,2.8,0.142,0.28615384615384615,0.11076923076923077,0.13846153846153847,0.4646153846153846,0.4646153846153846,0.18769230769230769
1642262,Cody Williams,NBA,2024-25,Wing,F,50,21.2,4.6,1.2,2.3,0.5,0.3,0.9,5.1,0.8,2.7,0.122,0.14007782101167315,0.2490272373540856,0.08560311284046693,0.5252918287937743,0.5252918287937743,0.1556420233463035
1641732,Colby Jones,NBA,2024-25,Guard,G,39,13.2,4.0,1.1,2.2,0.7,0.3,0.6,3.3,0.9,1.3,0.138,0.24031007751937986,0.2558139534883721,0.12403100775193798,0.3798449612403101,0.3798449612403101,0.2713178294573643
1630175,Cole Anthony,NBA,2024-25,Guard,G,67,18.4,9.4,2.9,3.0,0.7,0.5,1.5,8.1,1.7,3.3,0.238,0.1841620626151013,0.26335174953959484,0.15101289134438306,0.4014732965009208,0.4014732965009208,0.20810313075506445
1631306,Cole Swider,NBA,2024-25,,,10,17.0,5.9,0.3,2.7,0.4,0.2,0.4,6.3,0.1,4.7,0.155,0.07936507936507936,0.031746031746031744,0.14285714285714285,0.746031746031746,0.746031746031746,0.015873015873015872
1630658,Colin Castleton,NBA,2024-25,Big,C,26,16.6,4.7,1.1,4.7,0.3,0.4,0.9,3.8,1.5,0.6,0.125,0.3979591836734694,0.42857142857142855,0.01020408163265306,0.16326530612244897,0.16326530612244897,0.3877551020408163
1631221,Collin Gillespie,NBA,2024-25,Guard,G,33,14.0,5.9,2.4,2.4,0.6,0.2,0.5,4.8,0.7,2.7,0.17,0.15822784810126583,0.20253164556962025,0.06962025316455696,0.569620253164557,0.569620253164557,0.13924050632911392
1629012,Collin Sexton,NBA,2024-25,Guard,G,63,27.9,18.4,4.2,2.7,0.7,0.1,2.5,13.8,4.0,4.3,0.264,0.20761245674740483,0.3621683967704729,0.11764705882352941,0.31257208765859285,0.31257208765859285,0.2895040369088812
1630557,Corey Kispert,NBA,2024-25,Wing,F,61,26.3,11.6,1.7,3.0,0.4,0.2,1.0,9.3,1.4,5.4,0.169,0.23539823008849559,0.15752212389380532,0.023008849557522124,0.584070796460177,0.584070796460177,0.15575221238938053
202709,Cory Joseph,NBA,2024-25,Guard,G,50,12.2,3.5,1.4,1.5,0.5,0.1,0.4,3.1,0.4,2.1,0.126,0.12987012987012986,0.09740259740259741,0.07792207792207792,0.6948051948051948,0.6948051948051948,0.11688311688311688
1641854,Craig Porter Jr.,NBA,2024-25,Guard,G,51,10.1,3.7,1.4,1.3,0.3,0.3,0.7,2.7,0.6,0.9,0.155,0.4,0.17142857142857143,0.08571428571428572,0.34285714285714286,0.34285714285714286,0.22857142857142856
1642385,Cui Cui,NBA,2024-25,,,5,2.1,0.6,0.0,0.4,0.0,0.0,0.0,1.4,0.4,0.6,0.296,,,,,,
1626156,D'Angelo Russell,NBA,2024-25,Guard,G,58,25.5,12.6,5.1,2.8,1.0,0.4,1.9,11.0,2.5,6.2,0.228,0.13166144200626959,0.21630094043887146,0.0877742946708464,0.5642633228840125,0.5642633228840125,0.22727272727272727
1630618,D.J. Carton,NBA,2024-25,,,4,8.3,0.8,0.8,1.0,0.5,0.0,1.0,1.8,0.3,0.8,0.122,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285
1629610,DaQuan Jeffries,NBA,2024-25,Wing,G-F,47,22.8,6.7,1.1,2.9,0.6,0.5,0.7,6.2,0.6,3.5,0.136,0.2542955326460481,0.140893470790378,0.041237113402061855,0.563573883161512,0.563573883161512,0.10309278350515463
1631342,Daeqwon Plowden,NBA,2024-25,Wing,G-F,6,11.9,7.2,0.3,1.8,0.0,0.0,0.7,4.2,0.3,2.8,0.181,0.28,0.04,0.0,0.68,0.68,0.08
1630227,Daishen Nix,NBA,2024-25,,,3,4.4,0.3,1.0,1.3,0.0,0.0,1.3,0.3,0.7,0.3,0.176,,,,,,
1630625,Dalano Banton,NBA,2024-25,Wing,F,67,16.7,8.3,2.4,2.0,0.6,0.5,1.3,7.6,1.9,3.3,0.237,0.3175542406311637,0.1873767258382643,0.05719921104536489,0.4378698224852071,0.4378698224852071,0.2465483234714004
1631207,Dalen Terry,NBA,2024-25,Wing,F,73,13.5,4.5,1.3,1.7,0.6,0.2,0.7,3.7,0.9,1.4,0.142,0.43656716417910446,0.14925373134328357,0.026119402985074626,0.3880597014925373,0.3880597014925373,0.2574626865671642
