TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1611661324,2025,10,Jaylyn Sherrod,Jaylyn,jaylyn-sherrod,00,G,5-7,160,"OCT 21, 2001",24.0,1,Colorado,1642320,
1611661324,2025,10,Natisha Hiedeman,Natisha,natisha-hiedeman,2,G,5-8,132,"FEB 10, 1997",29.0,6,Marquette,1629567,
1611661324,2025,10,DiJonai Carrington,DiJonai,dijonai-carrington,3,G-F,5-11,175,"JAN 08, 1998",28.0,4,Baylor,1630096,
1611661324,2025,10,Bridget Carleton,Bridget,bridget-carleton,6,F,6-2,177,"MAY 22, 1997",28.0,6,Iowa State,1629524,
1611661324,2025,10,Anastasiia Olairi Kosu,Anastasiia Olairi,anastasiia-olairi-kosu,7,F,6-1,190,"APR 21, 2005",20.0,R,,1642797,
1611661324,2025,10,Alanna Smith,Alanna,alanna-smith,8,F,6-4,177,"SEP 10, 1996",29.0,6,Stanford,1629501,
1611661324,2025,10,Courtney Williams,Courtney,courtney-williams,10,G,5-8,148,"MAY 11, 1994",31.0,9,South Florida,1627675,
1611661324,2025,10,Jessica Shepard,Jessica,jessica-shepard,15,F,6-4,175,"SEP 11, 1996",29.0,4,Notre Dame,1629491,
1611661324,2025,10,Camryn Taylor,Camryn,camryn-taylor,20,F,6-1,190,"MAR 15, 2000",26.0,R,Virginia,1642344,
1611661324,2025,10,Kayla McBride,Kayla,kayla-mcbride,21,G,5-11,185,"JUN 25, 1992",33.0,11,Notre Dame,203825,
1611661324,2025,10,Napheesa Collier,Napheesa,napheesa-collier,24,F,6-1,180,"SEP 23, 1996",29.0,6,Connecticut,1629483,
1611661324,2025,10,Maria Kliundikova,Maria,maria-kliundikova,77,F,6-4,190,"JUL 16, 1998",27.0,2,Dynamo Kursk,1628926,
