TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1611661323,2025,10,Marina Mabrey,Marina,marina-mabrey,3,G,5-11,170,"SEP 14, 1996",29.0,6,Notre Dame,1629497,
1611661323,2025,10,Haley Peters,Haley,haley-peters,7,F-G,6-3,178,"SEP 17, 1992",33.0,3,Duke,203863,
1611661323,2025,10,Aaliyah Edwards,Aaliyah,aaliyah-edwards,8,F,6-3,,"JUL 09, 2002",23.0,1,Connecticut,1642290,
1611661323,2025,10,Olivia Nelson-Ododa,Olivia,olivia-nelson-ododa,10,C,6-5,176,"AUG 17, 2000",25.0,3,Connecticut,1631135,
1611661323,2025,10,Rayah Marshall,Rayah,rayah-marshall,13,C-F,6-4,,"NOV 15, 2003",22.0,R,Southern California,1642796,
1611661323,2025,10,Bria Hartley,Bria,bria-hartley,14,G,5-9,163,"SEP 30, 1992",33.0,9,Connecticut,203829,
1611661323,2025,10,Lindsay Allen,Lindsay,lindsay-allen,15,G,5-8,145,"MAR 20, 1995",31.0,7,Notre Dame,1628263,
1611661323,2025,10,Saniya Rivers,Saniya,saniya-rivers,22,G,6-1,,"MAR 04, 2003",23.0,R,North Carolina State,1642809,
1611661323,2025,10,Aneesah Morrow,Aneesah,aneesah-morrow,24,F,6-1,,"FEB 02, 2003",23.0,R,Louisiana State,1642800,
1611661323,2025,10,Mamignan Touré,Mamignan,mamignan-touré,28,G,6-0,,"DEC 19, 1994",31.0,R,,1642841,
1611661323,2025,10,Tina Charles,Tina,tina-charles,31,C,6-4,192,"DEC 05, 1988",37.0,13,Connecticut,202250,
1611661323,2025,10,Leïla Lacan,Leïla,leïla-lacan,47,G,5-11,,"JUN 02, 2004",21.0,R,,1642303,
