TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1611661319,2025,10,Jackie Young,Jackie,jackie-young,0,G,6-0,165,"SEP 16, 1997",28.0,6,Notre Dame,1629498,
1611661319,2025,10,Kierstan Bell,Kierstan,kierstan-bell,1,F,6-1,176,"MAR 16, 2000",26.0,3,Florida Gulf Coast,1631006,
1611661319,2025,10,NaLyssa Smith,NaLyssa,nalyssa-smith,3,F,6-4,185,"AUG 08, 2000",25.0,3,Baylor,1631019,
1611661319,2025,10,Dana Evans,Dana,dana-evans,11,G,5-6,145,"AUG 01, 1998",27.0,4,Louisville,1630389,
1611661319,2025,10,Chelsea Gray,Chelsea,chelsea-gray,12,G,5-11,170,"OCT 08, 1992",33.0,10,Duke,203833,
1611661319,2025,10,Aaliyah Nye,Aaliyah,aaliyah-nye,13,G-F,6-0,,"AUG 14, 2002",23.0,R,Alabama,1642801,
1611661319,2025,10,Megan Gustafson,Megan,megan-gustafson,17,C,6-4,195,"DEC 13, 1996",29.0,6,Iowa,1629484,
1611661319,2025,10,A'ja Wilson,A'ja,aja-wilson,22,C,6-4,195,"AUG 08, 1996",29.0,7,South Carolina,1628932,
1611661319,2025,10,Jewell Loyd,Jewell,jewell-loyd,24,G,5-11,175,"OCT 05, 1993",32.0,10,Notre Dame,204319,
1611661319,2025,10,Cheyenne Parker-Tyus,Cheyenne,cheyenne-parker-tyus,32,F,6-4,193,"AUG 22, 1992",33.0,10,Middle Tennessee,204323,
1611661319,2025,10,Kiah Stokes,Kiah,kiah-stokes,41,C,6-3,191,"MAR 30, 1993",33.0,9,Connecticut,204329,
