TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1611661317,2025,10,Satou Sabally,Satou,satou-sabally,0,F,6-4,175,"APR 25, 1998",27.0,5,Oregon,1630149,
1611661317,2025,10,Lexi Held,Lexi,lexi-held,1,G,5-10,150,"DEC 28, 1999",26.0,R,DePaul,1631118,
1611661317,2025,10,Kahleah Copper,Kahleah,kahleah-copper,2,G-F,6-1,165,"AUG 28, 1994",31.0,9,Rutgers,1627674,
1611661317,2025,10,Natasha Mack,Natasha,natasha-mack,4,F-C,6-4,182,"NOV 03, 1997",28.0,2,Oklahoma State,1630442,
1611661317,2025,10,Monique Akoa Makani,Monique,monique-akoa-makani,8,G,5-11,,"FEB 04, 2001",25.0,R,,1642777,
1611661317,2025,10,Kitija Laksa,Kitija,kitija-laksa,9,G,6-1,,"MAY 21, 1996",29.0,R,South Florida,1629490,
1611661317,2025,10,DeWanna Bonner,DeWanna,dewanna-bonner,14,G-F,6-4,140,"AUG 21, 1987",38.0,15,Auburn,201886,
1611661317,2025,10,Kalani Brown,Kalani,kalani-brown,21,C,6-7,245,"MAR 21, 1997",29.0,5,Baylor,1629480,
1611661317,2025,10,Kiana Williams,Kiana,kiana-williams,23,G,5-7,140,"APR 09, 1999",26.0,3,Stanford,1630461,
1611661317,2025,10,Kathryn Westbeld,Kathryn,kathryn-westbeld,24,F,6-3,,"JAN 29, 1996",30.0,R,Notre Dame,1628957,
1611661317,2025,10,Alyssa Thomas,Alyssa,alyssa-thomas,25,F,6-2,203,"APR 12, 1992",33.0,11,Maryland,203826,
1611661317,2025,10,Sami Whitcomb,Sami,sami-whitcomb,33,G,5-10,149,"JUL 20, 1988",37.0,8,Washington,1628244,
